"root_dir"	"name"	"file/directory"	"size"
"C:\TMP\config"	"ca.crt"	"file"	"1769"
"C:\TMP\config"	"machesnokov.conf"	"file"	"231"
"C:\TMP\config"	"machesnokov.crt"	"file"	"5447"
"C:\TMP\config"	"machesnokov.key"	"file"	"1704"
"C:\TMP\config"	"machesnokov.ovpn"	"file"	"248"
"C:\TMP\config"	"ta.key"	"file"	"636"
"C:\TMP\config"	"test"	"directory"	"0"
"C:\TMP\config"	"test2"	"directory"	"10024"
"C:\TMP\config\test2"	"Документ Microsoft Office Word.docx"	"file"	"10012"
"C:\TMP\config\test2"	"Новый текстовый документ.txt"	"file"	"12"
